Institute,Program,Seat Type,Gender,OR,CR
IIT Bhubaneswar,Engineering Physics (4 Years Bachelor of Technology),SC,Female-Only,3531,3531
IIT Bhubaneswar,Engineering Physics (4 Years Bachelor of Technology),ST,Gender-Neutral,1221,1221
IIT Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1664,2092
IIT Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),OBC-NCL,Female-Only,4715,4715
IIT Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,739,770
IIT Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),OPEN,Gender-Neutral,4174,4708
IIT Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),OPEN,Female-Only,7679,8804
IIT Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),SC,Gender-Neutral,989,1200
IIT Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),SC,Female-Only,2114,2114
IIT Bhubaneswar,Mathematics and Computing (4 Years Bachelor of Technology),ST,Gender-Neutral,619,769
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,3085,4142
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,6760,7664
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1573,1717
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2880,3157
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,7759,11678
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,17144,20366
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,154P,154P
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1859,2479
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),SC,Female-Only,3073,3388
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,915,1134
IIT Bhubaneswar,Mechanical Engineering (4 Years Bachelor of Technology),ST,Female-Only,1532,1578
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,5336,5774
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,8849,9160
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,2436,2514
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,11591,16268
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,21631,22981
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,2742,3054
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),SC,Female-Only,3877,3877
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,1195,1406
IIT Bhubaneswar,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),ST,Female-Only,1764,1764
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,928,1295
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,2823,3571
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Female-Only,75P,75P
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,297,489
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1160,1160
IIT Bombay,Aerospace Engineering (4 Years Bachelor of Technology),GEN- EWS(PwD),Gender-Neutral,41,41
