Institute,Program,Seat Type,Gender,OR,CR
IIT Kharagpur,Civil Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,6188,7774
IIT Kharagpur,Civil Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,13875,15272
IIT Kharagpur,Civil Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,244P,244P
IIT Kharagpur,Civil Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1233,1768
IIT Kharagpur,Civil Engineering (4 Years Bachelor of Technology),SC,Female-Only,2379,2669
IIT Kharagpur,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,503,583
IIT Kharagpur,Civil Engineering (4 Years Bachelor of Technology),ST,Female-Only,727,781
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,94,212
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,583,842
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,21,21
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,45,78
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,224,236
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),GEN- EWS(PwD),Gender-Neutral,7,8
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,238,466
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,1202,1908
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,18,22
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN(PwD),Female-Only,70,70
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,46,108
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-Only,316,404
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),SC(PwD),Gender-Neutral,6,8
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,43,68
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-Only,94,138
IIT Kharagpur,Computer Science and Engineering (4 Years Bachelor of Technology),ST(PwD),Gender-Neutral,4,4
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,700,884
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,2267,2711
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,75,75
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,230,333
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,644,694
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),GEN- EWS(PwD),Gender-Neutral,21P,21P
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,1492,1985
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,4721,5393
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,138,159
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,327,560
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),SC,Female-Only,1290,1412
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,194,246
IIT Kharagpur,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-Only,624,643
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,415,646
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,1467,1798
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,44,56
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,132,263
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,504,541
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),GEN- EWS(PwD),Gender-Neutral,4P,4P
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,419,1485
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,3229,4734
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,55,64
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),OPEN(PwD),Female-Only,123,123
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,100,393
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),SC,Female-Only,299,892
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,61,192
IIT Kharagpur,Electronics and Electrical Communication Engineering (4 Years Bachelor of Technology),ST,Female-Only,346,392
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,890,1227
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,3342,3619
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,379,463
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1400,1400
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,2077,2741
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,6076,7896
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,156,156
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,773,943
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),SC,Female-Only,2326,2326
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,774,787
IIT Kharagpur,Instrumentation Engineering (4 Years Bachelor of Technology),ST,Female-Only,1007,1007
IIT Kharagpur,Manufacturing Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,2449,3176
IIT Kharagpur,Manufacturing Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,5331,6353
IIT Kharagpur,Manufacturing Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1053,1267
IIT Kharagpur,Manufacturing Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2743,2743
IIT Kharagpur,Manufacturing Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,5124,6547
IIT Kharagpur,Manufacturing Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,12718,14070
IIT Kharagpur,Manufacturing Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1431,1994
IIT Kharagpur,Manufacturing Science and Engineering (4 Years Bachelor of Technology),SC,Female-Only,2826,3312
IIT Kharagpur,Manufacturing Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,850,1143
IIT Kharagpur,Manufacturing Science and Engineering (4 Years Bachelor of Technology),ST,Female-Only,1589,1589
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1040,1700
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,3627,4820
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,513,681
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1412,1617
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),GEN- EWS(PwD),Gender-Neutral,36P,36P
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,2773,4016
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,7605,10333
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,195,238
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,294,1054
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),SC,Female-Only,1670,2083
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,354,544
IIT Kharagpur,Mechanical Engineering (4 Years Bachelor of Technology),ST,Female-Only,1153,1218
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,2389,3389
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,6558,6973
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1285,1371
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2511,2553
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,5552,7708
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,13680,15297
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,280P,280P
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1651,2097
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),SC,Female-Only,2973,3343
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,868,960
IIT Kharagpur,Metallurgical and Materials Engineering (4 Years Bachelor of Technology),ST,Female-Only,1423,1423
IIT Kharagpur,Mining Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,3182,4043
IIT Kharagpur,Mining Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,7623,8146
IIT Kharagpur,Mining Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1473,1647
IIT Kharagpur,Mining Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,3177,3181
IIT Kharagpur,Mining Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,7833,10765
IIT Kharagpur,Mining Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,17757,20249
IIT Kharagpur,Mining Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,2061,2505
IIT Kharagpur,Mining Engineering (4 Years Bachelor of Technology),SC,Female-Only,3483,3745
IIT Kharagpur,Mining Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,886,1170
IIT Kharagpur,Mining Engineering (4 Years Bachelor of Technology),ST,Female-Only,1219,1243
IIT Kharagpur,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,2895,4206
IIT Kharagpur,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology),OBC-NCL,Female-Only,7037,7905
IIT Kharagpur,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1477,1659
IIT Kharagpur,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2873,2886
IIT Kharagpur,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology),OPEN,Gender-Neutral,7465,10074
IIT Kharagpur,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology),OPEN,Female-Only,15779,17428
IIT Kharagpur,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology),SC,Gender-Neutral,1460,2427
IIT Kharagpur,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology),SC,Female-Only,3357,3486
IIT Kharagpur,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology),ST,Gender-Neutral,1124,1249
IIT Kharagpur,Ocean Engineering and Naval Architecture (4 Years Bachelor of Technology),ST,Female-Only,1558,1558
IIT Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1185,2086
IIT Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,3805,6079
IIT Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,618,865
IIT Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1505,1505
IIT Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,2873,4329
IIT Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,9189,10288
IIT Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1004,1354
IIT Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),SC,Female-Only,2622,2731
IIT Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,738,882
IIT Kharagpur,Industrial and Systems Engineering (4 Years Bachelor of Technology),ST,Female-Only,1333,1333
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,218,381
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL,Female-Only,1056,1146
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,40,40
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,104,143
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),GEN-EWS,Female-Only,342,342
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),OPEN,Gender-Neutral,461,953
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),OPEN,Female-Only,2901,3194
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),OPEN(PwD),Female-Only,117,117
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),SC,Gender-Neutral,144,268
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),SC,Female-Only,463,659
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),ST,Gender-Neutral,66,90
IIT Kharagpur,Artificial Intelligence (4 Years Bachelor of Technology),ST,Female-Only,144,144
IIT Kharagpur,Chemistry (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,4745,5584
IIT Kharagpur,Chemistry (4 Years Bachelor of Science),OBC-NCL,Female-Only,8928,8982
IIT Kharagpur,Chemistry (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,1808,2197
IIT Kharagpur,Chemistry (4 Years Bachelor of Science),GEN-EWS,Female-Only,3820,3820
IIT Kharagpur,Chemistry (4 Years Bachelor of Science),OPEN,Gender-Neutral,11214,12321
IIT Kharagpur,Chemistry (4 Years Bachelor of Science),OPEN,Female-Only,20022,21532
IIT Kharagpur,Chemistry (4 Years Bachelor of Science),SC,Gender-Neutral,2804,3217
IIT Kharagpur,Chemistry (4 Years Bachelor of Science),SC,Female-Only,3576,3576
IIT Kharagpur,Chemistry (4 Years Bachelor of Science),ST,Gender-Neutral,1394,1477
IIT Kharagpur,Chemistry (4 Years Bachelor of Science),ST,Female-Only,2027,2027
IIT Kharagpur,Economics (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,2200,2677
IIT Kharagpur,Economics (4 Years Bachelor of Science),OBC-NCL,Female-Only,5844,6381
IIT Kharagpur,Economics (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,774,1144
IIT Kharagpur,Economics (4 Years Bachelor of Science),GEN-EWS,Female-Only,2143,2143
IIT Kharagpur,Economics (4 Years Bachelor of Science),OPEN,Gender-Neutral,3681,6063
IIT Kharagpur,Economics (4 Years Bachelor of Science),OPEN,Female-Only,10113,12877
IIT Kharagpur,Economics (4 Years Bachelor of Science),SC,Gender-Neutral,1424,1877
IIT Kharagpur,Economics (4 Years Bachelor of Science),SC,Female-Only,3000,3247
IIT Kharagpur,Economics (4 Years Bachelor of Science),ST,Gender-Neutral,835,1006
IIT Kharagpur,Economics (4 Years Bachelor of Science),ST,Female-Only,1539,1539
IIT Kharagpur,Physics (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,3861,4707
IIT Kharagpur,Physics (4 Years Bachelor of Science),OBC-NCL,Female-Only,8620,8640
IIT Kharagpur,Physics (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,1856,1966
IIT Kharagpur,Physics (4 Years Bachelor of Science),GEN-EWS,Female-Only,3446,3446
IIT Kharagpur,Physics (4 Years Bachelor of Science),OPEN,Gender-Neutral,7367,10939
IIT Kharagpur,Physics (4 Years Bachelor of Science),OPEN,Female-Only,19589,20982
IIT Kharagpur,Physics (4 Years Bachelor of Science),SC,Gender-Neutral,2110,2840
IIT Kharagpur,Physics (4 Years Bachelor of Science),SC,Female-Only,3996,3996
IIT Kharagpur,Physics (4 Years Bachelor of Science),ST,Gender-Neutral,1396,1449
IIT Kharagpur,Physics (4 Years Bachelor of Science),ST,Female-Only,1730,1730
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,523,751
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),OBC-NCL,Female-Only,1968,2575
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),OBC-NCL(PwD),Gender-Neutral,80P,80P
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,177,270
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),GEN-EWS,Female-Only,559,559
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),OPEN,Gender-Neutral,519,1336
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),OPEN,Female-Only,3754,4563
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),OPEN(PwD),Gender-Neutral,47,47
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),SC,Gender-Neutral,416,565
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),SC,Female-Only,965,1136
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),ST,Gender-Neutral,252,342
IIT Kharagpur,Mathematics and Computing (4 Years Bachelor of Science),ST,Female-Only,602,602
IIT Kharagpur,Applied Geology (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,3570,5621
IIT Kharagpur,Applied Geology (4 Years Bachelor of Science),OBC-NCL,Female-Only,9334,10019
IIT Kharagpur,Applied Geology (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,2194,2307
IIT Kharagpur,Applied Geology (4 Years Bachelor of Science),GEN-EWS,Female-Only,3934,3934
IIT Kharagpur,Applied Geology (4 Years Bachelor of Science),OPEN,Gender-Neutral,11734,13685
IIT Kharagpur,Applied Geology (4 Years Bachelor of Science),OPEN,Female-Only,20949,21618
IIT Kharagpur,Applied Geology (4 Years Bachelor of Science),SC,Gender-Neutral,2756,3316
IIT Kharagpur,Applied Geology (4 Years Bachelor of Science),SC,Female-Only,4072,4255
IIT Kharagpur,Applied Geology (4 Years Bachelor of Science),ST,Gender-Neutral,1390,1473
IIT Kharagpur,Applied Geology (4 Years Bachelor of Science),ST,Female-Only,2103,2103
IIT Kharagpur,Exploration Geophysics (4 Years Bachelor of Science),OBC-NCL,Gender-Neutral,4503,5210
IIT Kharagpur,Exploration Geophysics (4 Years Bachelor of Science),OBC-NCL,Female-Only,8732,9204
IIT Kharagpur,Exploration Geophysics (4 Years Bachelor of Science),GEN-EWS,Gender-Neutral,2006,2240
IIT Kharagpur,Exploration Geophysics (4 Years Bachelor of Science),GEN-EWS,Female-Only,3723,3723
IIT Kharagpur,Exploration Geophysics (4 Years Bachelor of Science),OPEN,Gender-Neutral,11359,12443
IIT Kharagpur,Exploration Geophysics (4 Years Bachelor of Science),OPEN,Female-Only,19766,20854
IIT Kharagpur,Exploration Geophysics (4 Years Bachelor of Science),SC,Gender-Neutral,2772,2932
IIT Kharagpur,Exploration Geophysics (4 Years Bachelor of Science),SC,Female-Only,4234,4234
IIT Kharagpur,Exploration Geophysics (4 Years Bachelor of Science),ST,Gender-Neutral,1276,1453
IIT Kharagpur,Exploration Geophysics (4 Years Bachelor of Science),ST,Female-Only,2040,2040
IIT Kharagpur,Architecture (5 Years Bachelor of Architecture),OBC-NCL,Gender-Neutral,5668,6770
IIT Kharagpur,Architecture (5 Years Bachelor of Architecture),GEN-EWS,Gender-Neutral,2807,2821
IIT Kharagpur,Architecture (5 Years Bachelor of Architecture),GEN-EWS,Female-Only,4587,4587
IIT Kharagpur,Architecture (5 Years Bachelor of Architecture),OPEN,Gender-Neutral,9970,19141
IIT Kharagpur,Architecture (5 Years Bachelor of Architecture),OPEN,Female-Only,19716,24124
IIT Kharagpur,Architecture (5 Years Bachelor of Architecture),SC,Gender-Neutral,3006,3376
IIT Kharagpur,Architecture (5 Years Bachelor of Architecture),SC,Female-Only,4112,4112
IIT Kharagpur,Architecture (5 Years Bachelor of Architecture),ST,Gender-Neutral,1625,1736
IIT Kharagpur,Architecture (5 Years Bachelor of Architecture),ST,Female-Only,1830,1830
IIT Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,2158,2453
IIT Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,4379,4864
IIT Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,930,948
IIT Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,1715,1715
IIT Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,4432,5756
IIT Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,10003,11874
IIT Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1211,1448
IIT Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),SC,Female-Only,2507,2507
IIT Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,713,752
IIT Hyderabad,Chemical Engineering (4 Years Bachelor of Technology),ST,Female-Only,1039,1039
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,2749,3453
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,5461,6304
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Gender-Neutral,77P,77P
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1278,1326
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2104,2104
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,5850,8698
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,12330,15160
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,1196,1844
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),SC,Female-Only,1496,1896
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,198,533
IIT Hyderabad,Civil Engineering (4 Years Bachelor of Technology),ST,Female-Only,605,605
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,133,293
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,647,887
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-NCL(PwD),Female-Only,46,46
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,73,93
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,313,313
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,339,673
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,1294,2121
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,17,17
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,125,198
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),SC,Female-Only,336,348
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,51,80
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,Female-Only,110,110
IIT Hyderabad,Computer Science and Engineering (4 Years Bachelor of Technology),ST(PwD),Gender-Neutral,5,5
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,671,1024
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),OBC-NCL,Female-Only,1519,2388
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,207,343
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),GEN-EWS,Female-Only,534,534
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Gender-Neutral,848,1900
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),OPEN,Female-Only,3584,4295
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Gender-Neutral,97,97
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),OPEN(PwD),Female-Only,128,128
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),SC,Gender-Neutral,292,553
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),SC,Female-Only,945,960
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),SC(PwD),Gender-Neutral,5,5
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),ST,Gender-Neutral,223,305
IIT Hyderabad,Electrical Engineering (4 Years Bachelor of Technology),ST,Female-Only,357,357
IIT Hyderabad,Engineering Physics (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1896,2572
IIT Hyderabad,Engineering Physics (4 Years Bachelor of Technology),OBC-NCL,Female-Only,4418,5436
IIT Hyderabad,Engineering Physics (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,1112,1233
IIT Hyderabad,Engineering Physics (4 Years Bachelor of Technology),GEN-EWS,Female-Only,2835,2835
IIT Hyderabad,Engineering Physics (4 Years Bachelor of Technology),OPEN,Gender-Neutral,3332,4686
IIT Hyderabad,Engineering Physics (4 Years Bachelor of Technology),OPEN,Female-Only,7216,9760
IIT Hyderabad,Engineering Physics (4 Years Bachelor of Technology),SC,Gender-Neutral,1284,1650
IIT Hyderabad,Engineering Physics (4 Years Bachelor of Technology),SC,Female-Only,2671,2671
IIT Hyderabad,Engineering Physics (4 Years Bachelor of Technology),ST,Gender-Neutral,815,894
IIT Hyderabad,Engineering Science (4 Years Bachelor of Technology),OBC-NCL,Gender-Neutral,1232,1880
IIT Hyderabad,Engineering Science (4 Years Bachelor of Technology),OBC-NCL,Female-Only,3364,4160
IIT Hyderabad,Engineering Science (4 Years Bachelor of Technology),GEN-EWS,Gender-Neutral,395,594
